,rank,title,fullTitle,year,crew,imDbRating,imDbRating
0,1,The Shawshank Redemption,The Shawshank Redemption (1994),1994,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",9.2,9.2
1,2,The Godfather,The Godfather (1972),1972,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",9.2,9.2
2,3,The Dark Knight,The Dark Knight (2008),2008,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",9.0,9.0
3,4,The Godfather Part II,The Godfather Part II (1974),1974,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",9.0,9.0
4,5,12 Angry Men,12 Angry Men (1957),1957,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",9.0,9.0
5,6,Schindler's List,Schindler's List (1993),1993,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",8.9,8.9
6,7,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King (2003),2003,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",8.9,8.9
7,8,Pulp Fiction,Pulp Fiction (1994),1994,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",8.8,8.8
8,9,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring (2001),2001,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.8,8.8
9,10,"The Good, the Bad and the Ugly","The Good, the Bad and the Ugly (1966)",1966,"Sergio Leone (dir.), Clint Eastwood, Eli Wallach",8.8,8.8
10,11,Forrest Gump,Forrest Gump (1994),1994,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",8.8,8.8
11,12,Fight Club,Fight Club (1999),1999,"David Fincher (dir.), Brad Pitt, Edward Norton",8.7,8.7
12,13,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers (2002),2002,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",8.7,8.7
13,14,Inception,Inception (2010),2010,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",8.7,8.7
14,15,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode V - The Empire Strikes Back (1980),1980,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",8.7,8.7
15,16,The Matrix,The Matrix (1999),1999,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",8.7,8.7
16,17,Goodfellas,Goodfellas (1990),1990,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",8.7,8.7
17,18,One Flew Over the Cuckoo's Nest,One Flew Over the Cuckoo's Nest (1975),1975,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",8.6,8.6
18,19,Se7en,Se7en (1995),1995,"David Fincher (dir.), Morgan Freeman, Brad Pitt",8.6,8.6
19,20,Seven Samurai,Seven Samurai (1954),1954,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",8.6,8.6
20,21,It's a Wonderful Life,It's a Wonderful Life (1946),1946,"Frank Capra (dir.), James Stewart, Donna Reed",8.6,8.6
21,22,The Silence of the Lambs,The Silence of the Lambs (1991),1991,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",8.6,8.6
22,23,City of God,City of God (2002),2002,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",8.6,8.6
23,24,Saving Private Ryan,Saving Private Ryan (1998),1998,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",8.6,8.6
24,25,Interstellar,Interstellar (2014),2014,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",8.6,8.6
25,26,Life Is Beautiful,Life Is Beautiful (1997),1997,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",8.6,8.6
26,27,The Green Mile,The Green Mile (1999),1999,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",8.6,8.6
27,28,Star Wars: Episode IV - A New Hope,Star Wars: Episode IV - A New Hope (1977),1977,"George Lucas (dir.), Mark Hamill, Harrison Ford",8.5,8.5
28,29,Terminator 2: Judgment Day,Terminator 2: Judgment Day (1991),1991,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",8.5,8.5
29,30,Back to the Future,Back to the Future (1985),1985,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",8.5,8.5
30,31,Spirited Away,Spirited Away (2001),2001,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",8.5,8.5
31,32,The Pianist,The Pianist (2002),2002,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",8.5,8.5
32,33,Psycho,Psycho (1960),1960,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",8.5,8.5
33,34,Parasite,Parasite (2019),2019,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun",8.5,8.5
34,35,Léon: The Professional,Léon: The Professional (1994),1994,"Luc Besson (dir.), Jean Reno, Gary Oldman",8.5,8.5
35,36,The Lion King,The Lion King (1994),1994,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",8.5,8.5
36,37,Gladiator,Gladiator (2000),2000,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",8.5,8.5
37,38,American History X,American History X (1998),1998,"Tony Kaye (dir.), Edward Norton, Edward Furlong",8.5,8.5
38,39,The Departed,The Departed (2006),2006,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",8.5,8.5
39,40,The Usual Suspects,The Usual Suspects (1995),1995,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",8.5,8.5
40,41,The Prestige,The Prestige (2006),2006,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",8.5,8.5
41,42,Whiplash,Whiplash (2014),2014,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",8.5,8.5
42,43,Casablanca,Casablanca (1942),1942,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",8.5,8.5
43,44,Grave of the Fireflies,Grave of the Fireflies (1988),1988,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",8.5,8.5
44,45,Harakiri,Harakiri (1962),1962,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",8.5,8.5
45,46,The Intouchables,The Intouchables (2011),2011,"Olivier Nakache (dir.), François Cluzet, Omar Sy",8.5,8.5
46,47,Modern Times,Modern Times (1936),1936,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",8.4,8.4
47,48,Once Upon a Time in the West,Once Upon a Time in the West (1968),1968,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",8.4,8.4
48,49,Rear Window,Rear Window (1954),1954,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",8.4,8.4
49,50,Cinema Paradiso,Cinema Paradiso (1988),1988,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",8.4,8.4
50,51,Alien,Alien (1979),1979,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",8.4,8.4
51,52,City Lights,City Lights (1931),1931,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",8.4,8.4
52,53,Apocalypse Now,Apocalypse Now (1979),1979,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",8.4,8.4
53,54,Memento,Memento (2000),2000,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",8.4,8.4
54,55,Django Unchained,Django Unchained (2012),2012,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",8.4,8.4
55,56,Indiana Jones and the Raiders of the Lost Ark,Indiana Jones and the Raiders of the Lost Ark (1981),1981,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",8.4,8.4
56,57,WALL·E,WALL·E (2008),2008,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",8.4,8.4
57,58,The Lives of Others,The Lives of Others (2006),2006,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",8.4,8.4
58,59,Sunset Blvd.,Sunset Blvd. (1950),1950,"Billy Wilder (dir.), William Holden, Gloria Swanson",8.4,8.4
59,60,Paths of Glory,Paths of Glory (1957),1957,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",8.4,8.4
